,"Symbol","Company Name","Security Type","Security Price","Equity Summary Score","Volume (90 Day Avg)","Market Capitalization","Dividend Yield","Company Headquarters Location","Sector","Industry","Optionable","Price Performance (52 Weeks)","Total Return (1 Yr Annualized)","Beta (1 Year Annualized)","Standard Deviation (1 Yr Annualized)","S&P Global Market Intelligence Valuation","S&P Global Market Intelligence Quality","S&P Global Market Intelligence Growth Stability","S&P Global Market Intelligence Financial Health","P/E (Price/TTM Earnings)","PEG Ratio","EPS Growth (Proj This Yr vs. Last Yr)","Institutional Ownership","Institutional Ownership (Last vs. Prior Qtr)","Analyst Sentiment"
799,"PRGS","Progress Software Corp","Common Stock",48.48,7.3,0.33521,2120000000,1.4436,"United States of America","Information Technology","Software","Yes (Option Chain)",9.65626,11.32016,0.768061,0.26451,91,63,50,68,27.1,,4.9354,99.704,-0.1984,"bullish"
800,"SIGI","Selective Insurance Group Inc","Common Stock",84.75,7.3,0.2436,5040000000,1.34084,"United States of America","Financials","Insurance","Yes (Option Chain)",9.70581,11.1966,0.762305,0.20094,79,84,25,79,13,0.95607,-7.06539,81.431,2.1278,"bullish"
801,"TUP","Tupperware Brands Corp","Common Stock",17.83,7.3,0.73498,802390000,0,"United States of America","Consumer Discretionary","Household Durables","Yes (Option Chain)",-27.90316,-27.90316,0.779541,0.57791,36,98,49,63,6.1,,-7.07692,81.0182,-13.9459,"bullish"
802,"UTHR","United Therapeutics Corp","Common Stock",180.33,7.3,0.42694,8150000000,0,"United States of America","Health Care","Biotechnology","Yes (Option Chain)",-10.78587,-10.78587,0.793135,0.3478,90,85,59,73,17.9,,56.26243,94.3841,-1.2745,"bullish"
803,"WCC","WESCO International Inc","Common Stock",125.23,7.3,0.41428,6220000000,0,"United States of America","Industrials","Trading Companies & Distributors","Yes (Option Chain)",33.68949,33.68949,1.28729,0.33968,49,30,54,50,16,,16.52305,93.1744,1.6765,"bullish"
804,"ZEUS","Olympic Steel Inc","Common Stock",35.55,7.3,0.09853,379330000,1.05572,"United States of America","Materials","Metals & Mining","Yes (Option Chain)",17.38382,18.02363,1.38248,0.57384,25,13,41,86,3.4,,-63.68821,74.4126,3.6872,"bullish"
805,"BBVA","Banco Bilbao Vizcaya Argentaria SA (BBVA)","Depository Receipt",5.12,7.3,2.82386,33360000000,6.69945,"Spain","Financials","Banks","Yes (Option Chain)",-8.92857,-3.32846,1.014314,0.33853,91,11,51,,6.6,0.32154,,2.4971,3.5094,"bullish"
806,"CLR","Continental Resources Inc","Common Stock",57.71,7.3,1.8956,20100000000,2.02349,"United States of America","Energy","Oil, Gas & Consumable Fuels","Yes (Option Chain)",103.19383,106.55648,1.207319,0.48098,56,55,71,59,12.7,1.18317,116.00858,13.2786,1.0642,"bullish"
807,"GRPN","Groupon Inc","Common Stock",19.21,7.3,1.23788,608750000,0,"United States of America","Consumer Discretionary","Internet & Direct Marketing Retail","Yes (Option Chain)",-60.69152,-60.69152,1.183737,0.67947,17,30,65,64,5.2,,11.41593,60.2446,-8.8281,"bullish"
808,"FB","Meta Platforms Inc","Common Stock",210.165,7.3,34.55882,571390000000,0,"United States of America","Communication Services","Interactive Media & Services","Yes (Option Chain)",-34.54957,-34.54957,1.456147,0.39769,76,69,26,24,15.9,2.12007,-12.76688,78.0568,-1.7101,"bullish"
809,"KNSL","Kinsale Capital Group Inc","Common Stock",223.3,7.3,0.11339,5100000000,0.23371,"United States of America","Financials","Insurance","Yes (Option Chain)",27.86621,28.17509,1.227635,0.31617,81,96,83,87,33.8,,17.52613,83.0389,2.1834,"bullish"
810,"FNKO","Funko Inc","Common Stock",16.84,7.3,0.46494,842840000,0,"United States of America","Consumer Discretionary","Distributors","Yes (Option Chain)",-23.01624,-23.01624,1.527689,0.44166,80,83,30,80,15.6,,30.14085,79.0927,-2.6108,"bullish"
811,"ABG","Asbury Automotive Group Inc","Common Stock",192.12,7.2,0.30734,4360000000,0,"United States of America","Consumer Discretionary","Specialty Retail","Yes (Option Chain)",-5.41262,-5.41262,0.027917,0.43502,96,77,74,85,6,,25.17772,84.104,19.4329,"bullish"
812,"AMGN","Amgen Inc","Common Stock",232.7956,7.2,3.03717,123360000000,3.36047,"United States of America","Health Care","Biotechnology","Yes (Option Chain)",-5.8929,-2.89608,0.403351,0.19174,88,98,72,84,22.9,3.21612,1.87719,79.6448,1.9788,"bullish"
813,"ASGN","ASGN Inc","Common Stock",114.55,7.2,0.20539,5810000000,0,"United States of America","Industrials","Professional Services","Yes (Option Chain)",7.65355,7.65355,1.190759,0.26437,39,54,70,30,23.7,,18.28154,94.7545,-1.5515,"bullish"
814,"AZPN","Aspen Technology Inc","Common Stock",159.13,7.2,0.38145,10550000000,0,"United States of America","Information Technology","Software","Yes (Option Chain)",21.94164,21.94164,0.842388,0.37725,66,64,5,50,41.9,5.27615,4.23077,96.8472,-3.0482,"bullish"
815,"BBSI","Barrett Business Services Inc","Common Stock",73.47,7.2,0.04995,530850000,1.65335,"United States of America","Industrials","Professional Services","Yes (Option Chain)",-1.02277,0.56706,0.528435,0.30632,32,42,90,92,14.7,,7.1,83.7654,0.1887,"bullish"
816,"BHLB","Berkshire Hills Bancorp Inc","Common Stock",25.11,7.2,0.28878,1180000000,1.93861,"United States of America","Financials","Banks","Yes (Option Chain)",11.58179,13.51701,0.549813,0.24751,61,86,40,52,9.7,,-23.09623,82.4847,3.6077,"bullish"
817,"BXP","Boston Properties Inc","Common Stock (REIT)",120.24,7.2,0.83774,18370000000,3.34357,"United States of America","Real Estate","Equity Real Estate Investment Trusts (REITs)","Yes (Option Chain)",7.21536,10.80526,0.587719,0.22516,57,59,74,68,34.5,,-4.4164,82.4751,17.032,"bullish"
818,"CR","Crane Co.","Common Stock",98.76,7.2,0.2885,5480000000,1.92564,"United States of America","Industrials","Machinery","Yes (Option Chain)",3.79545,5.64531,1.121584,0.27765,80,76,70,55,15.1,1.57138,13.12977,73.2747,-0.6088,"bullish"
819,"CYBE","CyberOptics Corp","Common Stock",46.362,7.2,0.05196,329730000,0,"United States of America","Information Technology","Semiconductors & Semiconductor Equipment","Yes (Option Chain)",36.62577,36.62577,1.679188,0.48947,68,59,89,31,23.7,,15.97633,64.9195,8.666,"bullish"
820,"DX","Dynex Capital Inc.","Common Stock (REIT)",16.65,7.2,0.69892,606090000,9.43739,"United States of America","Financials","Mortgage Real Estate Investment Trusts (REITs)","Yes (Option Chain)",-18.16832,-10.4793,0.341219,0.18674,86,66,12,98,7.1,-1.19099,-16.54822,39.4844,-0.5138,"bullish"
821,"FAST","Fastenal Co","Common Stock",55.41,7.2,3.41844,31660000000,2.25455,"United States of America","Industrials","Trading Companies & Distributors","Yes (Option Chain)",3.77358,5.97349,0.981562,0.20687,34,70,70,53,32.4,,17.125,78.0714,1.1657,"bullish"
822,"PFC","Premier Financial Corp","Common Stock",26.87,7.2,0.15711,960970000,4.47261,"United States of America","Financials","Banks","Yes (Option Chain)",-15.06806,-11.99217,0.668287,0.2308,71,10,17,10,8.9,,-10.76696,66.9355,-2.1606,"bullish"
823,"FFBC","First Financial Bancorp.","Common Stock",20.97,7.2,0.31835,1970000000,4.42095,"United States of America","Financials","Banks","Yes (Option Chain)",-16.85977,-13.67553,0.514594,0.23742,38,57,42,68,10,,-12.22707,74.0837,2.495,"bullish"
824,"FMNB","Farmers National Banc Corp/OH","Common Stock",15.69,7.2,0.08425,527420000,4.12637,"United States of America","Financials","Banks","Yes (Option Chain)",-7.84314,-4.96429,0.184426,0.20249,51,10,18,70,8.9,,3.26316,38.8731,11.553,"bullish"
825,"HWKN","Hawkins Inc","Common Stock",37.61,7.2,0.06369,786360000,1.50376,"United States of America","Materials","Chemicals","Yes (Option Chain)",11.66417,13.22482,0.821525,0.33384,52,66,61,68,15.9,,22.48705,59.5383,0.9738,"bullish"
826,"INT","World Fuel Services Corp","Common Stock",23.25,7.2,0.45843,1440000000,2.10066,"United States of America","Energy","Oil, Gas & Consumable Fuels","Yes (Option Chain)",-26.1235,-24.92553,0.626502,0.38684,57,59,57,76,18.2,,34.19118,90.7106,-2.2323,"bullish"
827,"MHO","M/I Homes Inc","Common Stock",46.43,7.2,0.32834,1310000000,0,"United States of America","Consumer Discretionary","Household Durables","Yes (Option Chain)",-33.79231,-33.79231,1.174034,0.37802,62,22,91,73,3.4,,26.84488,89.9217,-0.8823,"bullish"
828,"MSM","MSC Industrial Direct Co Inc.","Common Stock",82.33,7.2,0.4408,4540000000,3.68732,"United States of America","Industrials","Trading Companies & Distributors","Yes (Option Chain)",-9.76043,-6.58336,0.631582,0.17875,45,57,64,57,15.6,,24.88565,89.583,1.6338,"bullish"
829,"PSTI","Pluristem Therapeutics Inc","Common Stock",1.6699,7.2,1.08521,51760000,0,"Israel","Health Care","Biotechnology","Yes (Option Chain)",-62.26415,-62.26415,1.218384,0.63001,17,10,91,32,,,8.19209,8.7484,-37.686,"bullish"
830,"SCSC","ScanSource Inc","Common Stock",33.505,7.2,0.10431,855690000,0,"United States of America","Information Technology","Electronic Equipment, Instruments & Components","Yes (Option Chain)",10.55243,10.55243,1.194471,0.38868,45,37,33,88,10.8,,28.10219,97.0273,3.2127,"bullish"
831,"STAR","iStar Inc","Common Stock (REIT)",17.85,7.2,0.68884,1180000000,2.9274,"United States of America","Real Estate","Equity Real Estate Investment Trusts (REITs)","Yes (Option Chain)",-7.72555,-5.63623,1.278291,0.37596,16,14,30,38,,,45.60117,79.7181,3.6941,"bullish"
832,"TEVA","Teva Pharmaceutical Industries Ltd","Depository Receipt",8.62,7.2,8.82924,9470000000,0,"Israel","Health Care","Pharmaceuticals","Yes (Option Chain)",-20.28037,-20.28037,0.829007,0.42297,85,96,11,97,22.7,13.20434,-3.10078,46.5335,-2.0883,"bullish"
833,"UCBI","United Community Banks Inc","Common Stock",30.63,7.2,0.83524,3220000000,2.76316,"United States of America","Financials","Banks","Yes (Option Chain)",-8.81824,-6.61297,0.448824,0.27656,52,73,34,71,11.9,,-13.75405,79.4958,7.3504,"bullish"
834,"VRSN","Verisign Inc","Common Stock",179.55,7.2,0.62295,19170000000,0,"United States of America","Information Technology","IT Services","Yes (Option Chain)",-20.90395,-20.90395,1.183139,0.24906,26,87,74,41,25.3,,9.6558,92.3518,1.1259,"bullish"
835,"AX","Axos Financial Inc.","Common Stock",38.85,7.2,0.34414,2300000000,0,"United States of America","Financials","Thrifts & Mortgage Finance","Yes (Option Chain)",-14.75083,-14.75083,0.865405,0.34991,27,53,81,3,9.9,,12.55618,76.0705,1.1771,"bullish"
836,"MWA","Mueller Water Products Inc","Common Stock",11.845,7.2,1.06211,1900000000,1.91736,"United States of America","Industrials","Machinery","Yes (Option Chain)",-15.73816,-14.47474,1.103684,0.26068,65,68,47,38,25.8,,16.25,89.0108,-0.1636,"bullish"
837,"RCM","R1 RCM INC","Common Stock",23.01,7.2,1.20547,6500000000,0,"United States of America","Health Care","Health Care Providers & Services","Yes (Option Chain)",-14.35407,-14.35407,0.499759,0.39986,75,96,9,64,,,,,0.6143,"bullish"
838,"RM","Regional Management Corp","Common Stock",44.99,7.2,0.04205,430470000,2.72913,"United States of America","Financials","Consumer Finance","Yes (Option Chain)",13.52956,15.73877,1.325949,0.39409,97,74,74,58,5.4,,-22.55702,84.0232,2.4137,"bullish"
839,"NBHC","National Bank Holdings Corp","Common Stock",37.49,7.2,0.14534,1110000000,2.48447,"United States of America","Financials","Banks","Yes (Option Chain)",-7.19298,-5.19075,0.46213,0.23395,28,57,22,80,13.6,,-8.66221,97.5949,-0.2074,"bullish"
840,"YY","JOYY Inc","Depository Receipt",40.885,7.2,0.82081,2880000000,5.02339,"Singapore","Communication Services","Interactive Media & Services","Yes (Option Chain)",-56.76107,-55.10054,2.161209,0.78799,65,37,18,98,,,76.74242,73.3348,8.783,"bullish"
841,"AAOI","Applied Optoelectronics Inc","Common Stock",2.7,7.2,0.39698,71310000,0,"United States of America","Information Technology","Communications Equipment","Yes (Option Chain)",-65.04723,-65.04723,0.778588,0.51095,15,27,71,58,,,-15.26316,40.0938,-15.7936,"bullish"
842,"RMAX","RE/MAX Holdings Inc","Common Stock",24.42,7.2,0.14191,466430000,3.80008,"United States of America","Real Estate","Real Estate Management & Development","Yes (Option Chain)",-34.08658,-32.21314,0.76151,0.21989,25,41,51,28,,,2.88066,96.8358,11.2266,"bullish"
843,"AVNS","Avanos Medical Inc","Common Stock",29.33,7.2,0.33899,1380000000,0,"United States of America","Health Care","Health Care Equipment & Supplies","Yes (Option Chain)",-32.44619,-32.44619,0.794587,0.38649,93,96,84,89,266.6,,42.6087,92.8826,1.0944,"bullish"
844,"LC","LendingClub Corp","Common Stock",15.6,7.2,2.59921,1600000000,0,"United States of America","Financials","Consumer Finance","Yes (Option Chain)",2.01429,2.01429,1.886064,0.88453,53,43,72,64,15.4,,758.88889,77.9359,2.0355,"bullish"
845,"TWNK","Hostess Brands Inc","Common Stock",22.27,7.2,2.17398,3060000000,0,"United States of America","Consumer Staples","Food Products","Yes (Option Chain)",43.43172,43.43172,0.738367,0.22951,61,49,85,27,25.9,3.16744,9.43182,99.5214,-7.9609,"bullish"
846,"CRVS","Corvus Pharmaceuticals Inc","Common Stock",1.33,7.2,0.3248,63310000,0,"United States of America","Health Care","Biotechnology","Yes (Option Chain)",-50.72464,-50.72464,2.149454,1.39757,27,11,48,65,,,21.06796,59.8367,-1.0743,"bullish"
847,"FBK","FB Financial Corp","Common Stock",39.32,7.2,0.13516,1850000000,1.33368,"United States of America","Financials","Banks","Yes (Option Chain)",-7.07817,-6.08013,0.81164,0.24407,59,87,48,26,10.9,,-17.43073,63.4975,-1.3259,"bullish"
848,"LPTX","Leap Therapeutics Inc","Common Stock",1.38,7.2,1.26975,121000000,0,"United States of America","Health Care","Biotechnology","No",-18.93491,-18.93491,1.263353,1.07456,28,11,60,15,,,7.87234,48.9634,1.8037,"bullish"
849,"OPTN","Optinose Inc","Common Stock",2.36,7.2,0.3237,201740000,0,"United States of America","Health Care","Pharmaceuticals","No",-29.06977,-29.06977,0.580885,0.65739,38,29,99,85,,,46.06897,35.3494,40.3508,"bullish"
850,"LBC","Luther Burbank Corp","Common Stock",13.47,7.2,0.0465,683320000,3.62812,"United States of America","Financials","Thrifts & Mortgage Finance","No",18.76122,22.56721,0.539156,0.24721,58,83,96,18,7.5,,-8,14.6451,-1.5988,"bullish"
851,"CCCC","C4 Therapeutics Inc","Common Stock",8.94,7.2,0.7943,455630000,0,"United States of America","Health Care","Biotechnology","No",-72.13797,-72.13797,1.717436,0.73503,42,38,83,39,,,-35.05495,73.8722,4.3674,"bullish"
852,"CNXC","Concentrix Corp","Common Stock",154.07,7.2,0.29187,8150000000,0.6435,"United States of America","Information Technology","IT Services","Yes (Option Chain)",0.01287,0.44994,0.331979,0.30531,85,56,56,82,19,1.23134,20.24631,75.7912,1.0856,"bullish"
853,"PRG","PROG Holdings Inc","Common Stock",27.88,7.2,0.87366,1500000000,0,"United States of America","Financials","Consumer Finance","Yes (Option Chain)",-45.40636,-45.40636,1.135323,0.39417,92,98,44,94,9.4,,-14.72081,81.2938,-8.5273,"bullish"
854,"ABB","ABB Ltd","Depository Receipt",29.73,7.1,2.33158,57100000000,2.88165,"Switzerland","Industrials","Electrical Equipment","Yes (Option Chain)",-8.72649,-6.38688,0.859003,0.23224,51,78,88,77,13,,8.69863,5.0036,0.1617,"bullish"
855,"ARTNA","Artesian Resources Corp","Common Stock",45.95,7.1,0.02343,392350000,2.37459,"United States of America","Utilities","Water Utilities","No",13.64648,16.51363,0.282273,0.27038,49,64,40,33,25.7,,5.58659,50.7172,1.473,"bullish"
856,"COST","Costco Wholesale Corp","Common Stock",528.955,7.1,2.48739,234440000000,0.68059,"United States of America","Consumer Staples","Food & Staples Retailing","Yes (Option Chain)",39.4469,40.37034,0.99355,0.22043,61,94,93,64,42.6,3.64828,18.04328,67.9421,2.2906,"bullish"
857,"GPI","Group 1 Automotive Inc.","Common Stock",181.83,7.1,0.18907,2980000000,0.80577,"United States of America","Consumer Discretionary","Specialty Retail","Yes (Option Chain)",8.8633,9.71878,0.524803,0.41492,98,95,63,88,4.5,,9.30326,99.4285,-6.6141,"bullish"
858,"AJRD","Aerojet Rocketdyne Holdings Inc","Common Stock",40.19,7.1,1.21447,3220000000,0,"United States of America","Industrials","Aerospace & Defense","Yes (Option Chain)",-14.31935,-14.31935,0.022258,0.24325,58,65,51,72,23,,-1.77665,93.9903,2.1986,"bullish"
859,"HZO","MarineMax Inc","Common Stock",43.31,7.1,0.40248,909720000,0,"United States of America","Consumer Discretionary","Specialty Retail","Yes (Option Chain)",-26.81338,-26.81338,1.461163,0.45009,98,97,91,97,5.4,,20.20649,99.8099,2.4534,"bullish"
860,"KIRK","Kirkland's Inc","Common Stock",7.46,7.1,0.31312,90630000,0,"United States of America","Consumer Discretionary","Specialty Retail","Yes (Option Chain)",-74.97446,-74.97446,2.052204,0.6623,28,36,6,92,4.9,,-22.51656,81.3923,-8.1084,"bullish"
861,"MATW","Matthews International Corp","Common Stock",30.78,7.1,0.1167,947010000,2.90909,"United States of America","Industrials","Commercial Services & Supplies","Yes (Option Chain)",-28.28355,-26.57642,0.655083,0.27119,67,75,2,62,,,-5.4878,80.7753,0.835,"bullish"
862,"MITK","Mitek Systems Inc","Common Stock",11.24,7.1,0.36764,479360000,0,"United States of America","Information Technology","Software","Yes (Option Chain)",-32.81541,-32.81541,1.245389,0.38321,80,34,62,37,51.1,,11.31579,67.1844,1.5151,"bullish"
863,"PKI","PerkinElmer Inc.","Common Stock",152.99,7.1,0.85176,18660000000,0.18933,"United States of America","Health Care","Life Sciences Tools & Services","Yes (Option Chain)",14.08625,14.27796,1.052877,0.30079,94,78,0,82,18.9,,-38.35387,86.0104,6.3267,"bullish"
864,"QGEN","Qiagen NV","Common Stock",46.18,7.1,0.73279,10530000000,0,"Netherlands","Health Care","Life Sciences Tools & Services","Yes (Option Chain)",-3.78143,-3.78143,1.101535,0.28922,85,89,5,93,19.9,-4.53664,-21.16981,60.3231,6.2262,"bullish"
865,"RLI","RLI Corp","Common Stock",114.875,7.1,0.14264,5220000000,0.86753,"United States of America","Financials","Insurance","Yes (Option Chain)",5.35683,6.32177,0.646039,0.19205,74,89,19,76,20.7,,14.13437,80.1919,0.621,"bullish"
866,"SCI","Service Corp International","Common Stock",64.26,7.1,0.93242,10440000000,1.54012,"United States of America","Consumer Discretionary","Diversified Consumer Services","Yes (Option Chain)",21.50075,23.34106,0.899764,0.23657,68,67,29,31,13.6,1.94849,-34.28884,84.2805,-0.4682,"bullish"
867,"SNA","Snap-On Inc","Common Stock",219.19,7.1,0.37597,11430000000,2.65148,"United States of America","Industrials","Machinery","Yes (Option Chain)",-9.84007,-7.69017,0.759613,0.2401,74,59,53,57,14.2,3.01812,5.50938,88.6898,0.8162,"bullish"
868,"TECH","Bio-Techne Corp","Common Stock",384.12,7.1,0.24983,15030000000,0.33457,"United States of America","Health Care","Life Sciences Tools & Services","Yes (Option Chain)",-10.27884,-10.01941,1.517749,0.35662,77,95,62,52,74.9,,17.71852,94.2759,2.262,"bullish"
869,"WHR","Whirlpool Corp","Common Stock",190.65,7.1,0.9862,10410000000,3.77827,"United States of America","Consumer Discretionary","Household Durables","Yes (Option Chain)",-21.64517,-19.49743,0.784388,0.25038,90,79,17,86,7.1,1.14832,-8.36029,93.6083,0.6783,"bullish"
870,"AMSWA","American Software Inc","Common Stock",16.9,7.1,0.09202,570490000,2.58824,"United States of America","Information Technology","Software","Yes (Option Chain)",-17.8347,-16.25916,1.458458,0.46469,49,70,71,38,46.9,,28.78788,87.5848,0.6751,"bullish"
871,"AVNW","Aviat Networks Inc","Common Stock",31.155,7.1,0.09821,348800000,0,"United States of America","Information Technology","Communications Equipment","No",-3.91854,-3.91854,0.889455,0.45512,54,34,7,74,3.4,,14.9115,58.6013,6.0756,"bullish"
872,"PRI","Primerica Inc","Common Stock",133.01,7.1,0.17856,5090000000,1.68247,"United States of America","Financials","Insurance","Yes (Option Chain)",-18.15735,-17.08383,1.067226,0.26958,83,78,5,63,14.2,,9.75022,90.9801,0.7829,"bullish"
873,"HHC","Howard Hughes Corp (The)","Common Stock",98.53,7.1,0.26606,5090000000,0,"United States of America","Real Estate","Real Estate Management & Development","Yes (Option Chain)",-10.07041,-10.07041,0.990378,0.28415,13,8,73,31,95.7,,190.29126,94.6368,0.2419,"bullish"
874,"OUT","Outfront Media Inc","Common Stock (REIT)",24.27,7.1,1.26328,4190000000,4.70219,"United States of America","Real Estate","Equity Real Estate Investment Trusts (REITs)","Yes (Option Chain)",4.71892,6.7578,1.198517,0.33309,36,28,75,33,485.4,,1590,90.351,4.1326,"bullish"
875,"PSTG","Pure Storage Inc","Common Stock",29.375,7.1,3.7026,8900000000,0,"United States of America","Information Technology","Technology Hardware, Storage & Peripherals","Yes (Option Chain)",47.47774,47.47774,1.271049,0.41871,57,62,96,30,,,11.42857,80.5515,3.4289,"bullish"
876,"RTL","The Necessity Retail REIT Inc","Common Stock",7.435,7.1,0.88292,972190000,11.62791,"United States of America","Real Estate","Equity Real Estate Investment Trusts (REITs)","No",-27.69535,-20.2213,0.806365,0.28496,44,46,26,47,,,,,5.9953,"bullish"
877,"AFL","AFLAC Inc","Common Stock",58.35,7,3.0556,36910000000,2.79232,"United States of America","Financials","Insurance","Yes (Option Chain)",6.64433,9.17772,0.925491,0.23151,72,72,53,55,9.6,2.97373,-12.37374,66.9387,-0.8612,"neutral"
878,"B","Barnes Group Inc","Common Stock",33.69,7,0.20091,1690000000,1.91847,"United States of America","Industrials","Machinery","Yes (Option Chain)",-33.17308,-32.26692,0.709441,0.26354,71,61,46,65,17,,13.76289,86.4783,2.2873,"neutral"
879,"CE","Celanese Corp","Common Stock",148.69,7,0.90982,15810000000,1.86365,"United States of America","Materials","Chemicals","Yes (Option Chain)",-6.83051,-5.14146,0.860136,0.23367,77,61,13,76,7.9,-2.40313,-7.98565,93.8131,-0.9016,"neutral"
880,"CHE","Chemed Corp","Common Stock",491.32,7,0.05716,7320000000,0.29444,"United States of America","Health Care","Health Care Providers & Services","Yes (Option Chain)",2.6122,2.91886,0.858023,0.2408,81,94,1,77,28.7,4.0881,0.75013,90.373,-2.8246,"neutral"
881,"COHU","Cohu Inc","Common Stock",27.6184,7,0.38377,1330000000,0,"United States of America","Information Technology","Semiconductors & Semiconductor Equipment","Yes (Option Chain)",-32.29968,-32.29968,1.907863,0.44784,90,57,71,81,8.5,,-13.53125,86.234,1.8647,"neutral"
882,"CSX","CSX Corp","Common Stock",34.615,7,15.00923,74560000000,1.16652,"United States of America","Industrials","Road & Rail","Yes (Option Chain)",1.46982,2.61206,0.805626,0.22924,64,74,58,30,19.7,1.39633,18.12903,75.4024,1.1528,"neutral"
883,"FICO","Fair Isaac Corporation","Common Stock",371.77,7,0.27725,9700000000,0,"United States of America","Information Technology","Software","Yes (Option Chain)",-28.25416,-28.25416,0.740694,0.33344,27,95,49,35,27.3,,21.92808,88.1109,-2.1277,"neutral"
884,"HAL","Halliburton Co","Common Stock",36.78,7,12.81306,32440000000,1.33482,"United States of America","Energy","Energy Equipment & Services","Yes (Option Chain)",83.84458,85.63923,0.654027,0.44158,43,31,17,31,21.3,0.34216,75.64815,79.3643,4.531,"neutral"
885,"HNP","Huaneng Power International Inc","Depository Receipt",21.08,7,0.02494,2340000000,5.5578,"China","Utilities","Independent Power and Renewable Electricity Producers","Yes (Option Chain)",39.00907,49.08098,0.380535,0.59761,87,,,,,,,1.0291,-9.3465,"neutral"
886,"ONTO","Onto Innovation Inc","Common Stock",72.755,7,0.3178,3580000000,0,"United States of America","Information Technology","Semiconductors & Semiconductor Equipment","Yes (Option Chain)",5.6188,5.6188,2.11766,0.51469,75,55,87,33,25.4,,25.41451,93.7109,-0.565,"neutral"
887,"NUE","Nucor Corp","Common Stock",152.73,7,3.3701,40310000000,1.33342,"United States of America","Materials","Metals & Mining","Yes (Option Chain)",82.33649,85.24693,1.113996,0.45657,93,69,96,79,5.5,0.1421,8.96259,79.8373,-0.2085,"neutral"
888,"PB","Prosperity Bancshares Inc","Common Stock",67.8,7,0.45942,6180000000,3.09985,"United States of America","Financials","Banks","Yes (Option Chain)",-8.53326,-5.90917,0.559961,0.2084,30,71,25,94,12.3,,1.16071,80.4802,1.7749,"neutral"
889,"REG","Regency Centers Corp.","Common Stock (REIT)",68.59,7,0.93905,11500000000,3.72467,"United States of America","Real Estate","Equity Real Estate Investment Trusts (REITs)","Yes (Option Chain)",5.00626,8.78548,0.837249,0.19712,37,43,64,82,32.4,,-12.73585,,13.4565,"neutral"
890,"VIVO","Meridian Bioscience Inc","Common Stock",26.38,7,0.4518,1130000000,0,"United States of America","Health Care","Health Care Equipment & Supplies","Yes (Option Chain)",32.63534,32.63534,0.285472,0.39818,95,91,26,77,19.4,,-18.63905,94.3338,-0.2688,"neutral"
891,"EVRG","EVERGY INC","Common Stock",68.31,7,1.41241,15380000000,3.41383,"United States of America","Utilities","Electric Utilities","Yes (Option Chain)",4.86165,8.49196,0.440277,0.15183,52,54,33,63,17.8,3.76653,0.16949,87.6987,2.0851,"neutral"
892,"APAM","Artisan Partners Asset Management Inc","Common Stock",34.185,7,0.60642,2670000000,12.28018,"United States of America","Financials","Capital Markets","Yes (Option Chain)",-34.11233,-27.32563,1.351393,0.30468,93,99,78,83,7.2,,-23.45924,78.4347,1.1294,"neutral"
893,"QSR","Restaurant Brands International Inc","Common Stock",55.8,7,1.28309,25770000000,3.79213,"Canada","Consumer Discretionary","Hotels, Restaurants & Leisure","Yes (Option Chain)",-16.98003,-14.04374,0.552041,0.21087,79,60,76,29,20.7,,5.46099,80.4674,2.9714,"neutral"
894,"AM","Antero Midstream Corp","Common Stock",10.615,7,3.59833,4870000000,8.84956,"United States of America","Energy","Oil, Gas & Consumable Fuels","Yes (Option Chain)",17.70833,28.10761,0.655458,0.31984,46,60,2,25,15.4,2.37728,16.66667,52.0976,-1.8537,"neutral"
895,"CRNC","Cerence Inc","Common Stock",30.55,7,0.91441,1190000000,0,"United States of America","Information Technology","Software","Yes (Option Chain)",-68.31045,-68.31045,2.854788,0.65769,77,51,25,54,27.8,1.84606,-24.26877,97.63,0.1659,"neutral"
896,"AZO","AutoZone Inc","Common Stock",1998.29,6.9,0.17894,39830000000,0,"United States of America","Consumer Discretionary","Specialty Retail","Yes (Option Chain)",37.05775,37.05775,0.857962,0.26167,17,98,68,57,18.1,,17.45982,92.8826,0.3226,"neutral"
897,"BANF","BancFirst Corp","Common Stock",83.37,6.9,0.12461,2710000000,1.73766,"United States of America","Financials","Banks","Yes (Option Chain)",19.22026,21.70626,0.413366,0.20351,26,50,56,52,17.2,,-7.05765,40.452,3.3484,"neutral"
898,"BRC","Brady Corp","Common Stock",45.995,6.9,0.25696,2360000000,1.9698,"United States of America","Industrials","Commercial Services & Supplies","Yes (Option Chain)",-16.27268,-14.79602,0.924804,0.24966,50,39,33,69,18,2.54967,14.90566,84.4111,1.9507,"neutral"
899,"CNO","CNO Financial Group Inc","Common Stock",21.665,6.9,0.91506,2830000000,2.15589,"United States of America","Financials","Insurance","Yes (Option Chain)",-5.52291,-3.45411,0.749916,0.25038,71,48,58,47,6.7,,-16.12903,96.4235,-3.2548,"neutral"
900,"CXW","CoreCivic Inc","Common Stock (REIT)",13.08,6.9,0.84629,1570000000,0,"United States of America","Industrials","Commercial Services & Supplies","Yes (Option Chain)",66.28057,66.28057,0.47951,0.54836,93,84,64,50,,,,82.6663,-0.1654,"neutral"
901,"DBD","Diebold Nixdorf Inc","Common Stock",4.095,6.9,0.95437,323600000,0,"United States of America","Information Technology","Technology Hardware, Storage & Peripherals","Yes (Option Chain)",-72.68488,-72.68488,1.322535,0.53855,55,84,80,78,,,103.75,82.6399,0.6122,"neutral"
